generation,candidate,score,mean_wake_mse,std_wake_mse,mean_drag,mean_energy,is_best
11,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09840164333581924,0
12,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09670326858758926,0
12,1,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09540820121765137,0
12,2,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09981266409158707,0
12,3,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09319239109754562,0
12,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09328802675008774,0
12,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09632854908704758,0
12,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0907214879989624,0
12,7,-0.044334497302770615,0.044334497302770615,0.0,0.0,0.09253314882516861,0
12,8,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09817013144493103,0
12,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09863205999135971,0
13,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09729877859354019,0
13,1,-0.0440596342086792,0.0440596342086792,0.0,0.0,0.09468388557434082,0
13,2,-0.04424482211470604,0.04424482211470604,0.0,0.0,0.09496989846229553,0
13,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09447697550058365,0
13,4,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.10091877728700638,0
13,5,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09844470769166946,0
13,6,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.08734336495399475,0
13,7,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09346362948417664,0
13,8,-0.044908832758665085,0.044908832758665085,3.725290298461914e-09,0.0,0.09289822727441788,0
13,9,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09683212637901306,0
14,0,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09752089530229568,0
14,1,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09417393803596497,0
14,2,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.0963614284992218,0
14,3,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09268756955862045,0
14,4,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09557405859231949,0
14,5,-0.04642653092741966,0.04642653092741966,0.0,0.0,0.09434035420417786,0
14,6,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.0977415069937706,0
14,7,-0.04401613399386406,0.04401613399386406,3.725290298461914e-09,0.0,0.09256100654602051,0
